"","Ar","AstLan","Lan_namn","RegExpVarde","bef_20_64ar","RegExp_inv20_64ar"
"1",1997,"01","Stockholms län",113466811691.929,1082097,104858.262883946
"2",1997,"03","Uppsala län",10172434812.5927,174537,58282.3975007743
"3",1997,"04","Södermanlands län",14659747148.8561,146149,100306.859088027
"4",1997,"05","Östergötlands län",36274225071.4332,239096,151714.060759834
"5",1997,"06","Jönköpings län",19787608446.7105,182205,108600.798258612
"6",1997,"07","Kronobergs län",14982253421.1347,101276,147934.885077755
"7",1997,"08","Kalmar län",14911939124.129,133749,111491.967223149
"8",1997,"09","Gotlands län",3474094297.69379,32671,106335.719680873
"9",1997,"10","Blekinge län",13822633941.9985,86844,159166.251462375
"10",1997,"12","Skåne län",61390042529.6701,647239,94849.1091075632
"11",1997,"13","Hallands län",12401899434.7384,153522,80782.5551695415
"12",1997,"14","Västra Götalands län",113703657839.94,861452,131990.706202945
"13",1997,"17","Värmlands län",19038669357.5454,158358,120225.497654336
"14",1997,"18","Örebro län",27898816387.7691,156535,178227.338216815
"15",1997,"19","Västmanlands län",18395513005.4083,149436,123099.607895074
"16",1997,"20","Dalarnas län",18380392887.5688,158943,115641.411622838
"17",1997,"21","Gävleborgs län",29180267669.2828,162081,180035.091523885
"18",1997,"22","Västernorrlands län",13665172811.9543,144578,94517.6500709259
"19",1997,"23","Jämtlands län",2275288643.78134,74460,30557.1937118095
"20",1997,"24","Västerbottens län",10521014569.317,149337,70451.4927266315
"21",1997,"25","Norrbottens län",14316629287.9855,153609,93201.7608863122
"22",1997,"99",NA,465894574.56173,0,Inf
"23",1998,"01","Stockholms län",122723883314.526,1098435,111726.122451056
"24",1998,"03","Uppsala län",11071382859.8538,175522,63076.8955450245
"25",1998,"04","Södermanlands län",16142908553.0054,146112,110483.112632812
"26",1998,"05","Östergötlands län",41735844796.8656,238368,175089.965082837
"27",1998,"06","Jönköpings län",21043500519.2263,182610,115237.394004853
"28",1998,"07","Kronobergs län",15735016799.3668,101082,155665.863352197
"29",1998,"08","Kalmar län",16521746681.6978,132802,124408.869457522
"30",1998,"09","Gotlands län",3770145529.07038,32634,115528.146383232
"31",1998,"10","Blekinge län",13273017199.3815,86957,152638.858279167
"32",1998,"12","Skåne län",63144601746.4554,650832,97021.3538155091
"33",1998,"13","Hallands län",11797442781.1877,154454,76381.5943982527
"34",1998,"14","Västra Götalands län",127323572023.61,864249,147322.787788716
"35",1998,"17","Värmlands län",19594843729.9389,157093,124734.034807018
"36",1998,"18","Örebro län",27995211133.872,156660,178700.441298813
"37",1998,"19","Västmanlands län",18353583063.2623,149067,123123.045766416
"38",1998,"20","Dalarnas län",22711718825.804,157898,143837.913246551
"39",1998,"21","Gävleborgs län",28099130941.295,160769,174779.534246621
"40",1998,"22","Västernorrlands län",17975523087.3867,143337,125407.418094328
"41",1998,"23","Jämtlands län",2625187780.27225,74038,35457.3027401098
"42",1998,"24","Västerbottens län",11828158110.0735,148974,79397.4660683979
"43",1998,"25","Norrbottens län",16624544636.3547,152296,109159.430558614
"44",1998,"99",NA,261042852.49389,0,Inf
"45",1999,"01","Stockholms län",142875982378.327,1115530,128079.013902205
"46",1999,"03","Uppsala län",11528000846.8997,176544,65298.1740920094
"47",1999,"04","Södermanlands län",18580346649.5915,146062,127208.628182495
"48",1999,"05","Östergötlands län",30451576332.9282,238675,127585.948812939
"49",1999,"06","Jönköpings län",22014865255.7544,182866,120387.963075445
"50",1999,"07","Kronobergs län",16173902511.5141,100753,160530.232464682
"51",1999,"08","Kalmar län",19376967024.3593,132242,146526.572680081
"52",1999,"09","Gotlands län",548661680.272636,32635,16812.0631307687
"53",1999,"10","Blekinge län",12271806554.6082,86697,141548.226058666
"54",1999,"12","Skåne län",65756389069.2305,654970,100396.031985023
"55",1999,"13","Hallands län",12123636805.2065,155376,78027.7314720836
"56",1999,"14","Västra Götalands län",133421096560.274,867788,153748.492212699
"57",1999,"17","Värmlands län",20051869956.5582,156460,128159.721056872
"58",1999,"18","Örebro län",30216058064.1632,156979,192484.714924692
"59",1999,"19","Västmanlands län",17829933797.1659,148836,119795.841040917
"60",1999,"20","Dalarnas län",22948284787.7143,156906,146254.985709369
"61",1999,"21","Gävleborgs län",31890709044.0355,160199,199069.339034798
"62",1999,"22","Västernorrlands län",16964857086.8555,141926,119533.116461082
"63",1999,"23","Jämtlands län",2794429749.29297,73802,37863.8756306464
"64",1999,"24","Västerbottens län",11400651985.9508,148639,76700.2737232541
"65",1999,"25","Norrbottens län",14813010399.3845,150593,98364.5348680516
"66",1999,"99",NA,349333460.913502,0,Inf
"67",2000,"01","Stockholms län",162482627614.937,1132195,143511.168672302
"68",2000,"03","Uppsala län",12786126585.4338,178307,71708.4948175554
"69",2000,"04","Södermanlands län",19416757739.5315,146495,132542.119113496
"70",2000,"05","Östergötlands län",36466656220.0348,239489,152268.606157422
"71",2000,"06","Jönköpings län",25456984378.011,183895,138432.172587678
"72",2000,"07","Kronobergs län",18023478767.391,100853,178710.388063726
"73",2000,"08","Kalmar län",19621299396.9755,131630,149064.038570049
"74",2000,"09","Gotlands län",749050366.722931,32636,22951.6597230951
"75",2000,"10","Blekinge län",16988429892.5693,86631,196101.048037877
"76",2000,"12","Skåne län",75431469827.1104,660242,114248.214786564
"77",2000,"13","Hallands län",14455469828.0025,156426,92410.9152442848
"78",2000,"14","Västra Götalands län",150562811844.024,873997,172269.25475033
"79",2000,"17","Värmlands län",21754892177.2178,155873,139568.059748756
"80",2000,"18","Örebro län",31421346251.0009,157543,199446.159150206
"81",2000,"19","Västmanlands län",21008354422.1824,148719,141262.074262081
"82",2000,"20","Dalarnas län",26126851926.8162,156131,167339.297940936
"83",2000,"21","Gävleborgs län",36941224149.1624,159596,231467.105373333
"84",2000,"22","Västernorrlands län",19694162362.1451,140839,139834.579641613
"85",2000,"23","Jämtlands län",3057710220.43853,73261,41737.2165331968
