"","År","Undersökning","andel","Boendekommun"
"1",2015,"Gymnasiet",19.8,"Dalarna"
"2",2015,"Högstadiet",23.4,"Dalarna"
"3",2018,"Gymnasiet",22.9,"Dalarna"
"4",2018,"Högstadiet",22.4,"Dalarna"
"5",2021,"Gymnasiet",19.5,"Dalarna"
"6",2021,"Högstadiet",19,"Dalarna"
"7",2015,"Gymnasiet",29.1,"Avesta kommun"
"8",2015,"Gymnasiet",12.1,"Borlänge kommun"
"9",2015,"Gymnasiet",15.2,"Falu kommun"
"10",2015,"Gymnasiet",28.4,"Gagnefs kommun"
"11",2015,"Gymnasiet",22.1,"Hedemora kommun"
"12",2015,"Gymnasiet",15.4,"Leksands kommun"
"13",2015,"Gymnasiet",12.8,"Ludvika kommun"
"14",2015,"Gymnasiet",15.4,"Malung-Sälens kommun"
"15",2015,"Gymnasiet",24.5,"Mora kommun"
"16",2015,"Gymnasiet",19.7,"Orsa kommun"
"17",2015,"Gymnasiet",20.8,"Rättviks kommun"
"18",2015,"Gymnasiet",9.3,"Smedjebackens kommun"
"19",2015,"Gymnasiet",18,"Säters kommun"
"20",2015,"Gymnasiet",49.1,"Vansbro kommun"
"21",2015,"Gymnasiet",13.5,"Älvdalens kommun"
"22",2015,"Högstadiet",24.5,"Avesta kommun"
"23",2015,"Högstadiet",25.3,"Borlänge kommun"
"24",2015,"Högstadiet",15.8,"Falu kommun"
"25",2015,"Högstadiet",29.8,"Gagnefs kommun"
"26",2015,"Högstadiet",25.1,"Hedemora kommun"
"27",2015,"Högstadiet",25.8,"Leksands kommun"
"28",2015,"Högstadiet",19.1,"Ludvika kommun"
"29",2015,"Högstadiet",23.2,"Malung-Sälens kommun"
"30",2015,"Högstadiet",20.7,"Mora kommun"
"31",2015,"Högstadiet",18.4,"Orsa kommun"
"32",2015,"Högstadiet",28.2,"Rättviks kommun"
"33",2015,"Högstadiet",19.1,"Smedjebackens kommun"
"34",2015,"Högstadiet",26.5,"Säters kommun"
"35",2015,"Högstadiet",40.9,"Vansbro kommun"
"36",2015,"Högstadiet",22.5,"Älvdalens kommun"
"37",2018,"Gymnasiet",20.4,"Avesta kommun"
"38",2018,"Gymnasiet",21.2,"Borlänge kommun"
"39",2018,"Gymnasiet",23.1,"Falu kommun"
"40",2018,"Gymnasiet",25.6,"Gagnefs kommun"
"41",2018,"Gymnasiet",11.1,"Hedemora kommun"
"42",2018,"Gymnasiet",22.4,"Leksands kommun"
"43",2018,"Gymnasiet",27,"Ludvika kommun"
"44",2018,"Gymnasiet",24.6,"Mora kommun"
"45",2018,"Gymnasiet",19.4,"Orsa kommun"
"46",2018,"Gymnasiet",21.4,"Rättviks kommun"
"47",2018,"Gymnasiet",19,"Smedjebackens kommun"
"48",2018,"Gymnasiet",22.9,"Säters kommun"
"49",2018,"Gymnasiet",29.9,"Vansbro kommun"
"50",2018,"Gymnasiet",22.1,"Älvdalens kommun"
"51",2018,"Högstadiet",22,"Avesta kommun"
"52",2018,"Högstadiet",17.7,"Borlänge kommun"
"53",2018,"Högstadiet",23.4,"Falu kommun"
"54",2018,"Högstadiet",26.7,"Gagnefs kommun"
"55",2018,"Högstadiet",20.1,"Hedemora kommun"
"56",2018,"Högstadiet",24.6,"Leksands kommun"
"57",2018,"Högstadiet",23.4,"Ludvika kommun"
"58",2018,"Högstadiet",19,"Malung-Sälens kommun"
"59",2018,"Högstadiet",18.9,"Mora kommun"
"60",2018,"Högstadiet",28.9,"Orsa kommun"
"61",2018,"Högstadiet",31.9,"Rättviks kommun"
"62",2018,"Högstadiet",30.5,"Smedjebackens kommun"
"63",2018,"Högstadiet",20,"Säters kommun"
"64",2018,"Högstadiet",15.7,"Vansbro kommun"
"65",2018,"Högstadiet",22.5,"Älvdalens kommun"
"66",2021,"Gymnasiet",20.6,"Avesta kommun"
"67",2021,"Gymnasiet",16.3,"Borlänge kommun"
"68",2021,"Gymnasiet",20.4,"Falu kommun"
"69",2021,"Gymnasiet",15.5,"Gagnefs kommun"
"70",2021,"Gymnasiet",19.3,"Hedemora kommun"
"71",2021,"Gymnasiet",14.6,"Leksands kommun"
"72",2021,"Gymnasiet",21.7,"Ludvika kommun"
"73",2021,"Gymnasiet",17.6,"Malung-Sälens kommun"
"74",2021,"Gymnasiet",19.6,"Mora kommun"
"75",2021,"Gymnasiet",24.2,"Orsa kommun"
"76",2021,"Gymnasiet",19.2,"Rättviks kommun"
"77",2021,"Gymnasiet",26.1,"Smedjebackens kommun"
"78",2021,"Gymnasiet",21.3,"Säters kommun"
"79",2021,"Gymnasiet",27.1,"Vansbro kommun"
"80",2021,"Gymnasiet",18,"Älvdalens kommun"
"81",2021,"Högstadiet",20.5,"Avesta kommun"
"82",2021,"Högstadiet",17.5,"Borlänge kommun"
"83",2021,"Högstadiet",17,"Falu kommun"
"84",2021,"Högstadiet",20.3,"Gagnefs kommun"
"85",2021,"Högstadiet",22.1,"Hedemora kommun"
"86",2021,"Högstadiet",14.2,"Leksands kommun"
"87",2021,"Högstadiet",24.3,"Ludvika kommun"
"88",2021,"Högstadiet",21.3,"Malung-Sälens kommun"
"89",2021,"Högstadiet",16.6,"Mora kommun"
"90",2021,"Högstadiet",25.4,"Orsa kommun"
"91",2021,"Högstadiet",22.6,"Rättviks kommun"
"92",2021,"Högstadiet",20.3,"Smedjebackens kommun"
"93",2021,"Högstadiet",14.6,"Säters kommun"
"94",2021,"Högstadiet",14.6,"Vansbro kommun"
"95",2021,"Högstadiet",24.5,"Älvdalens kommun"
