"region","hushållstyp","år","småhus, äganderätt","småhus, bostadsrätt","småhus, hyresrätt","flerbostadshus, bostadsrätt","flerbostadshus, hyresrätt","specialbostad","övrigt boende","uppgift saknas","samtliga boendeformer"
"Dalarnas län","samtliga hushåll","2012",74272,1688,2087,14654,28621,2882,2519,4217,130940
"Dalarnas län","samtliga hushåll","2013",74258,1708,2073,14626,28924,2883,2491,4431,131394
"Dalarnas län","samtliga hushåll","2014",74555,1652,2080,14849,29524,2973,2579,4158,132370
"Dalarnas län","samtliga hushåll","2015",74789,1670,2093,14914,30343,3055,2587,4056,133507
"Dalarnas län","samtliga hushåll","2016",76125,1673,2174,15100,30873,3084,2657,2967,134653
"Dalarnas län","samtliga hushåll","2017",76339,1698,2206,15193,31172,3108,2572,3201,135489
"Dalarnas län","samtliga hushåll","2018",76473,1700,2220,15367,31440,3079,2555,3433,136267
"Dalarnas län","samtliga hushåll","2019",76568,1710,2206,15424,31850,3041,2607,3662,137068
"Dalarnas län","samtliga hushåll","2020",76928,1720,2185,15598,31951,2994,2582,3935,137893
"Dalarnas län","samtliga hushåll","2021",77137,1739,2185,15680,33041,3112,1729,4091,138714
