"Region","År","Utsläpp","BRP","effektivitet"
"Blekinge län","2008",589,48093,81.6519524617997
"Blekinge län","2009",585,45103,77.0991452991453
"Blekinge län","2010",659,47007,71.3308042488619
"Blekinge län","2011",497,46732,94.0281690140845
"Blekinge län","2012",492,45835,93.1605691056911
"Blekinge län","2013",449,47265,105.267260579065
"Blekinge län","2014",412,48564,117.873786407767
"Blekinge län","2015",403,53392,132.48635235732
"Blekinge län","2016",391,53644,137.196930946292
"Blekinge län","2017",363,54263,149.484848484848
"Blekinge län","2018",383,60562,158.125326370757
"Blekinge län","2019",335,61398,183.277611940298
"Blekinge län","2020",325,62879,193.473846153846
"Dalarnas län","2008",1604,86484,53.9177057356608
"Dalarnas län","2009",1388,82413,59.3753602305475
"Dalarnas län","2010",1554,88898,57.2059202059202
"Dalarnas län","2011",1470,93752,63.7768707482993
"Dalarnas län","2012",1421,91842,64.6319493314567
"Dalarnas län","2013",1388,92022,66.2982708933718
"Dalarnas län","2014",1332,94406,70.8753753753754
"Dalarnas län","2015",1288,98436,76.4254658385093
"Dalarnas län","2016",1332,103518,77.7162162162162
"Dalarnas län","2017",1349,105918,78.5159377316531
"Dalarnas län","2018",1294,110575,85.452086553323
"Dalarnas län","2019",1279,115605,90.3870211102424
"Dalarnas län","2020",1213,111634,92.0313272877164
"Gotlands län","2008",2665,15423,5.78724202626642
"Gotlands län","2009",2343,15471,6.60307298335467
"Gotlands län","2010",2581,16296,6.31383184812088
"Gotlands län","2011",2657,17468,6.57433195333082
"Gotlands län","2012",2781,17382,6.25026968716289
"Gotlands län","2013",2630,17869,6.79429657794677
"Gotlands län","2014",2606,18303,7.02340752110514
"Gotlands län","2015",2902,19059,6.56753962784287
"Gotlands län","2016",2772,19319,6.96933621933622
"Gotlands län","2017",2694,20192,7.49517446176689
"Gotlands län","2018",2828,20444,7.22913719943423
"Gotlands län","2019",2420,21818,9.01570247933884
"Gotlands län","2020",2269,21521,9.4847950639048
"Gävleborgs län","2008",1316,81667,62.056990881459
"Gävleborgs län","2009",1239,78503,63.3599677158999
"Gävleborgs län","2010",1362,85337,62.6556534508076
"Gävleborgs län","2011",1228,85049,69.2581433224756
"Gävleborgs län","2012",1145,86952,75.9406113537118
"Gävleborgs län","2013",1083,87980,81.2373037857802
"Gävleborgs län","2014",1015,92118,90.7566502463054
"Gävleborgs län","2015",980,94633,96.5642857142857
"Gävleborgs län","2016",972,98053,100.877572016461
"Gävleborgs län","2017",973,101131,103.93730729702
"Gävleborgs län","2018",925,108281,117.060540540541
"Gävleborgs län","2019",887,111424,125.618940248027
"Gävleborgs län","2020",836,113880,136.22009569378
"Hallands län","2008",1408,92916,65.9914772727273
"Hallands län","2009",1326,87763,66.1862745098039
"Hallands län","2010",1358,97265,71.6237113402062
"Hallands län","2011",1293,98391,76.0951276102088
