"region","kön","utbildningsnivå","bakgrundsvariabel","år","Andel förvärvsarbetande (ny definition från och med 2019)"
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2010",30.4
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2011",36.5
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2012",37.8
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2013",39.1
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2014",38.6
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2015",38.8
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2016",38.6
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2017",39.4
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2018",43.7
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2019",50
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2020",54
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2021",54.4
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2010",45
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2011",46.3
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2012",49.8
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2013",52.8
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2014",55.7
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2015",56.7
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2016",57.9
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2017",58.5
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2018",59
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2019",60.9
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2020",61
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2021",65.6
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2010",58.5
