"kpi","year","value","municipality"
"Företagens utgifter för egen FoU",2011,13728.601803,"Stockholms län"
"Företagens utgifter för egen FoU",2011,5483.861441,"Uppsala län"
"Företagens utgifter för egen FoU",2011,5033.698631,"Södermanlands län"
"Företagens utgifter för egen FoU",2011,15375.514701,"Östergötlands län"
"Företagens utgifter för egen FoU",2011,3873.973056,"Jönköpings län"
"Företagens utgifter för egen FoU",2011,7673.811561,"Kronobergs län"
"Företagens utgifter för egen FoU",2011,978.162941,"Kalmar län"
"Företagens utgifter för egen FoU",2011,366.440985,"Gotlands län"
"Företagens utgifter för egen FoU",2011,7994.561345,"Blekinge län"
"Företagens utgifter för egen FoU",2011,10671.759782,"Skåne län"
"Företagens utgifter för egen FoU",2011,1454.972093,"Hallands län"
"Företagens utgifter för egen FoU",2011,12235.603582,"Västra Götalands län"
"Företagens utgifter för egen FoU",2011,1066.965857,"Värmlands län"
"Företagens utgifter för egen FoU",2011,3768.130353,"Örebro län"
"Företagens utgifter för egen FoU",2011,5514.105806,"Västmanlands län"
"Företagens utgifter för egen FoU",2011,3995.444108,"Dalarnas län"
"Företagens utgifter för egen FoU",2011,2299.641473,"Gävleborgs län"
"Företagens utgifter för egen FoU",2011,2709.008692,"Västernorrlands län"
"Företagens utgifter för egen FoU",2011,380.050515,"Jämtlands län"
"Företagens utgifter för egen FoU",2011,1675.222496,"Västerbottens län"
"Företagens utgifter för egen FoU",2011,1577.179182,"Norrbottens län"
"Företagens utgifter för egen FoU",2013,15472.191478,"Stockholms län"
"Företagens utgifter för egen FoU",2013,6116.110582,"Uppsala län"
"Företagens utgifter för egen FoU",2013,4402.508925,"Södermanlands län"
"Företagens utgifter för egen FoU",2013,15023.478467,"Östergötlands län"
"Företagens utgifter för egen FoU",2013,3501.985435,"Jönköpings län"
"Företagens utgifter för egen FoU",2013,9622.988309,"Kronobergs län"
"Företagens utgifter för egen FoU",2013,1295.569409,"Kalmar län"
"Företagens utgifter för egen FoU",2013,104.966673,"Gotlands län"
"Företagens utgifter för egen FoU",2013,2310.859731,"Blekinge län"
"Företagens utgifter för egen FoU",2013,9259.310131,"Skåne län"
"Företagens utgifter för egen FoU",2013,1629.513753,"Hallands län"
"Företagens utgifter för egen FoU",2013,11619.829061,"Västra Götalands län"
"Företagens utgifter för egen FoU",2013,1606.924383,"Värmlands län"
"Företagens utgifter för egen FoU",2013,4425.445435,"Örebro län"
"Företagens utgifter för egen FoU",2013,6562.338354,"Västmanlands län"
"Företagens utgifter för egen FoU",2013,5127.114213,"Dalarnas län"
"Företagens utgifter för egen FoU",2013,3773.788538,"Gävleborgs län"
"Företagens utgifter för egen FoU",2013,2944.382959,"Västernorrlands län"
"Företagens utgifter för egen FoU",2013,166.059101,"Jämtlands län"
"Företagens utgifter för egen FoU",2013,2198.290388,"Västerbottens län"
"Företagens utgifter för egen FoU",2013,2020.558379,"Norrbottens län"
"Företagens utgifter för egen FoU",2015,17002.929499,"Stockholms län"
"Företagens utgifter för egen FoU",2015,6406.636473,"Uppsala län"
"Företagens utgifter för egen FoU",2015,4677.278366,"Södermanlands län"
"Företagens utgifter för egen FoU",2015,16315.091515,"Östergötlands län"
"Företagens utgifter för egen FoU",2015,3978.875162,"Jönköpings län"
"Företagens utgifter för egen FoU",2015,10513.719567,"Kronobergs län"
"Företagens utgifter för egen FoU",2015,1792.333357,"Kalmar län"
"Företagens utgifter för egen FoU",2015,104.546008,"Gotlands län"
"Företagens utgifter för egen FoU",2015,4351.916443,"Blekinge län"
"Företagens utgifter för egen FoU",2015,7860.377239,"Skåne län"
"Företagens utgifter för egen FoU",2015,1321.54112,"Hallands län"
"Företagens utgifter för egen FoU",2015,14171.926423,"Västra Götalands län"
"Företagens utgifter för egen FoU",2015,1493.273022,"Värmlands län"
"Företagens utgifter för egen FoU",2015,3219.798496,"Örebro län"
"Företagens utgifter för egen FoU",2015,8472.203302,"Västmanlands län"
"Företagens utgifter för egen FoU",2015,4803.791792,"Dalarnas län"
"Företagens utgifter för egen FoU",2015,4502.954065,"Gävleborgs län"
"Företagens utgifter för egen FoU",2015,2648.659065,"Västernorrlands län"
"Företagens utgifter för egen FoU",2015,219.82163,"Jämtlands län"
"Företagens utgifter för egen FoU",2015,2232.532709,"Västerbottens län"
"Företagens utgifter för egen FoU",2015,3051.258744,"Norrbottens län"
"Företagens utgifter för egen FoU",2017,17216.004381,"Stockholms län"
