"Kommun","Kommun-kod","Totalt antal","Inom 4 år...8","Antal med examen","År"
"Avesta","2084","245","74.7",183.015,"2011"
"Borlänge","2081","680","74.400000000000006",505.92,"2011"
"Falun","2080","878","77.3",678.694,"2011"
"Gagnef","2026","10",".",NA,"2011"
"Hedemora","2083","155","60",93,"2011"
"Leksand","2029","194","69.599999999999994",135.024,"2011"
"Ludvika","2085","252","81.3",204.876,"2011"
"Malung-Sälen","2023","93","73.099999999999994",67.983,"2011"
"Mora","2062","282","71.599999999999994",201.912,"2011"
"Orsa","2034","16","..",NA,"2011"
"Rättvik","2031","150","75.3",112.95,"2011"
"Smedjebacken","2061","64","32.799999999999997",20.992,"2011"
"Säter","2082","56","57.1",31.976,"2011"
"Vansbro","2021","56","73.2",40.992,"2011"
"Älvdalen","2039","89","66.3",59.007,"2011"
"Avesta","2084","228","69.7",158.916,"2012"
"Borlänge","2081","637","71.3",454.181,"2012"
"Falun","2080","952","78.400000000000006",746.368,"2012"
"Gagnef","2026","..","..",NA,"2012"
"Hedemora","2083","115","62.6",71.99,"2012"
"Leksand","2029","171","71.900000000000006",122.949,"2012"
"Ludvika","2085","272","87.1",236.912,"2012"
"Malung-Sälen","2023","102","85.3",87.006,"2012"
"Mora","2062","250","75.2",188,"2012"
"Orsa","2034","19","..",NA,"2012"
"Rättvik","2031","124","70.2",87.048,"2012"
"Smedjebacken","2061","66","25.8",17.028,"2012"
"Säter","2082","40","52.5",21,"2012"
"Vansbro","2021","54","72.2",38.988,"2012"
"Älvdalen","2039","91","78",70.98,"2012"
"Avesta","2084","197","70.599999999999994",139.082,"2013"
"Borlänge","2081","572","66.3",379.236,"2013"
"Falun","2080","940","80.099999999999994",752.94,"2013"
"Gagnef","2026","..","..",NA,"2013"
"Hedemora","2083","113","77.900000000000006",88.027,"2013"
"Leksand","2029","166","74.7",124.002,"2013"
"Ludvika","2085","226","83.2",188.032,"2013"
"Malung-Sälen","2023","81","80.2",64.962,"2013"
"Mora","2062","260","70",182,"2013"
"Orsa","2034","11",".",NA,"2013"
"Rättvik","2031","147","81",119.07,"2013"
"Smedjebacken","2061","67","19.399999999999999",12.998,"2013"
"Säter","2082","55","36.4",20.02,"2013"
"Vansbro","2021","49","63.3",31.017,"2013"
"Älvdalen","2039","71","80.3",57.013,"2013"
"Avesta","2084","240","71.7",172.08,"2014"
"Borlänge","2081","569","75.900000000000006",431.871,"2014"
"Falun","2080","904","80.2",725.008,"2014"
"Gagnef","2026","..","..",NA,"2014"
"Hedemora","2083","78","52.6",41.028,"2014"
"Leksand","2029","183","74.900000000000006",137.067,"2014"
"Ludvika","2085","264","83.7",220.968,"2014"
"Malung-Sälen","2023","87","75.900000000000006",66.033,"2014"
"Mora","2062","249","70.3",175.047,"2014"
"Rättvik","2031","127","74",93.98,"2014"
"Smedjebacken","2061","51","..",NA,"2014"
"Säter","2082","40","27.5",11,"2014"
"Vansbro","2021","35","71.400000000000006",24.99,"2014"
"Älvdalen","2039","73","80.8",58.984,"2014"
"Avesta","2084","230","63.5",146.05,"2015"
"Borlänge","2081","629","73.400000000000006",461.686,"2015"
"Falun","2080","975","74.5",726.375,"2015"
"Gagnef","2026","..",".",NA,"2015"
"Hedemora","2083","93","62.4",58.032,"2015"
"Leksand","2029","145","82.8",120.06,"2015"
"Ludvika","2085","244","84.8",206.912,"2015"
"Malung-Sälen","2023","94","78.7",73.978,"2015"
"Mora","2062","270","69.3",187.11,"2015"
"Rättvik","2031","147","69.400000000000006",102.018,"2015"
"Smedjebacken","2061","61","27.9",17.019,"2015"
"Säter","2082","18",".",NA,"2015"
"Vansbro","2021","43","76.7",32.981,"2015"
"Älvdalen","2039","67","68.7",46.029,"2015"
"Avesta","2084","268","59.3",158.924,"2016"
"Borlänge","2081","655","68.099999999999994",446.055,"2016"
"Falun","2080","1002","78.900000000000006",790.578,"2016"
"Gagnef","2026","..",".",NA,"2016"
"Hedemora","2083","107","50.5",54.035,"2016"
"Leksand","2029","174","74.099999999999994",128.934,"2016"
"Ludvika","2085","234","80.8",189.072,"2016"
"Malung-Sälen","2023","107","73.8",78.966,"2016"
"Mora","2062","314","65",204.1,"2016"
"Rättvik","2031","128","68",87.04,"2016"
"Smedjebacken","2061","73","31.5",22.995,"2016"
"Säter","2082","14","..",NA,"2016"
"Vansbro","2021","38","60.5",22.99,"2016"
"Älvdalen","2039","72","80.599999999999994",58.032,"2016"
"Avesta","2084","245","65.3",159.985,"2017"
"Borlänge","2081","763","64.900000000000006",495.187,"2017"
"Falun","2080","1017","75.599999999999994",768.852,"2017"
"Gagnef","2026","12","..",NA,"2017"
"Hedemora","2083","128","52.3",66.944,"2017"
"Leksand","2029","180","75",135,"2017"
"Ludvika","2085","239","83.3",199.087,"2017"
"Malung-Sälen","2023","119","79",94.01,"2017"
"Mora","2062","289","69.2",199.988,"2017"
"Rättvik","2031","122","74.599999999999994",91.012,"2017"
"Smedjebacken","2061","67","31.3",20.971,"2017"
"Säter","2082","11","..",NA,"2017"
"Vansbro","2021","55","58.2",32.01,"2017"
"Älvdalen","2039","72","80.599999999999994",58.032,"2017"
