"kpi","year","value","municipality"
"Invånare med tillgång till dagligvarubutik inom 2 km, andel (%)",2010,66.27033792,"Region Dalarna"
"Invånare med tillgång till dagligvarubutik inom 2 km, andel (%)",2011,66.27033792,"Region Dalarna"
"Invånare med tillgång till dagligvarubutik inom 2 km, andel (%)",2012,66.27033792,"Region Dalarna"
"Invånare med tillgång till dagligvarubutik inom 2 km, andel (%)",2013,66.27033792,"Region Dalarna"
"Invånare med tillgång till dagligvarubutik inom 2 km, andel (%)",2014,66.27033792,"Region Dalarna"
"Invånare med tillgång till dagligvarubutik inom 2 km, andel (%)",2015,65.17007827,"Region Dalarna"
"Invånare med tillgång till dagligvarubutik inom 2 km, andel (%)",2016,65.40095807,"Region Dalarna"
"Invånare med tillgång till dagligvarubutik inom 2 km, andel (%)",2017,65.17007827,"Region Dalarna"
"Invånare med tillgång till dagligvarubutik inom 2 km, andel (%)",2018,65.17007827,"Region Dalarna"
"Invånare med tillgång till dagligvarubutik inom 2 km, andel (%)",2019,65.17007827,"Region Dalarna"
"Invånare med tillgång till dagligvarubutik inom 2 km, andel (%)",2020,65.30562636,"Region Dalarna"
"Invånare med tillgång till dagligvarubutik inom 2 km, andel (%)",2021,64.67905974,"Region Dalarna"
"Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%)",2010,69.52190438,"Region Dalarna"
"Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%)",2011,69.52190438,"Region Dalarna"
"Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%)",2012,69.52190438,"Region Dalarna"
"Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%)",2013,69.52190438,"Region Dalarna"
"Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%)",2014,69.52190438,"Region Dalarna"
"Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%)",2015,70.71862428,"Region Dalarna"
"Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%)",2016,74.5903021,"Region Dalarna"
"Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%)",2017,70.71862428,"Region Dalarna"
"Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%)",2018,70.71862428,"Region Dalarna"
"Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%)",2019,70.71862428,"Region Dalarna"
"Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%)",2020,71.200649,"Region Dalarna"
"Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%)",2021,73.66388687,"Region Dalarna"
