"Region","Sociala relationer","Andel och konfidensintervall","Kön","År","Andel"
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2004-2007",27.5
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2005-2008",27.7
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2006-2009",26.9
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2007-2010",24.8
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2008-2011",23
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2009-2012",23.3
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2010-2013",22.7
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2011-2014",23.5
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2012-2015",25.2
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2013-2016",26.7
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2015-2018",27.7
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2017-2020",27.2
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2018-2021",26.3
"20 Dalarnas län","Svårt att lita på andra","Andel","Totalt","2019-2022",27.3
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2004-2007",29.9
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2005-2008",29.6
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2006-2009",27.7
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2007-2010",26.5
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2008-2011",24.7
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2009-2012",24.6
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2010-2013",24.5
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2011-2014",24
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2012-2015",25.3
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2013-2016",26.4
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2015-2018",27.7
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2017-2020",27.3
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2018-2021",27.5
"20 Dalarnas län","Svårt att lita på andra","Andel","Kvinnor","2019-2022",26.8
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2004-2007",25.1
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2005-2008",25.9
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2006-2009",26.1
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2007-2010",23.2
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2008-2011",21.3
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2009-2012",22.1
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2010-2013",21
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2011-2014",23.1
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2012-2015",25.1
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2013-2016",27
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2015-2018",27.8
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2017-2020",27.1
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2018-2021",25.2
"20 Dalarnas län","Svårt att lita på andra","Andel","Män","2019-2022",27.8
