"region","trångboddhet","födelseregion","ålder","kön","år","Samtliga i populationen"
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2012",1223
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2013",1346
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2014",1589
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2015",1754
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2016",2021
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2017",2193
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2018",2357
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2019",2300
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2020",2144
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2021",2193
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2012",602
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2013",642
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2014",758
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2015",856
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2016",976
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2017",1063
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2018",1170
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2019",1152
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2020",1070
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2021",1085
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2012",621
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2013",704
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2014",831
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2015",898
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2016",1045
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2017",1130
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2018",1187
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2019",1148
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2020",1074
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2021",1108
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2012",1223
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2013",1346
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2014",1589
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2015",1754
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2016",2021
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2017",2193
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2018",2357
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2019",2300
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2020",2144
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","totalt","2021",2193
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2012",602
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2013",642
