"Id","Ar","Geografi","UtslappPerInv","TotaltUtslapp","UppvarmningUtslapp","TransporterUtslapp","ArbetsmaskinerUtslapp","ElFjarrvarme","IndustriUtslapp","JordbrukUtslapp"
"0000",2008,"Riket",6.53191913,60461710,NA,NA,NA,NA,NA,NA
"0020",2008,"Dalarnas län",7.39528106,2040114,NA,NA,NA,NA,NA,NA
"0000",2009,"Riket",6.07357793,56731360,NA,NA,NA,NA,NA,NA
"0020",2009,"Dalarnas län",6.6941842,1850634,NA,NA,NA,NA,NA,NA
"0000",2010,"Riket",6.88585347,64834235.38,1832116.269,20723858.42,3558244.696,10678746.25,17536002.45,6844909.904
"0020",2010,"Dalarnas län",7.19397077,1993068.021,57580.50591,688084.013,146532.5029,111659.4032,726500.1511,147492.8771
"0000",2011,"Riket",6.3709183,60414494.45,1462173.304,20170778.44,3537077.798,8401402.488,16434474.63,6829611.511
"0020",2011,"Dalarnas län",6.91195187,1911603.968,43442.85974,660540.956,158878.9973,89215.32643,701066.6693,151766.372
"0000",2012,"Riket",6.0236595,57561445.65,1295303.312,19008674.3,3467773.888,7827311.73,15705399.49,6760001.559
"0020",2012,"Dalarnas län",6.48464137,1793359.994,41683.74542,621513.0212,147081.2209,90839.70287,642755.0964,152377.8247
"0000",2013,"Riket",5.79503194,55892294.91,1169877.72,18535280.99,3438775.605,7632470.807,14908206.98,6837032.502
"0020",2013,"Dalarnas län",6.41393986,1778899.807,39081.89541,604439.4516,148743.7771,77546.14178,664004.0477,151030.6635
"0000",2014,"Riket",5.54217657,54021562.54,1101035.232,18127904.88,3319166.204,6421928.19,14874941.53,6897321.639
"0020",2014,"Dalarnas län",6.23293534,1738384.365,33834.16658,590211.3695,137719.4133,96163.07308,638959.2794,150518.3896
"0000",2015,"Riket",5.50946372,54273820.78,1024490.125,18441425.24,3289129.569,6400347.818,15138730.16,6923321.952
"0020",2015,"Dalarnas län",6.26073251,1759441.137,32740.25572,607165.5554,125585.1028,102248.5911,652351.7211,148319.013
"0000",2016,"Riket",5.38870604,53860941.38,965164.3443,17764099.02,3104609.528,6913945.245,15224905.32,6890274.925
"0020",2016,"Dalarnas län",6.16464363,1754032.217,30095.62108,582891.8311,126691.2759,109172.8835,670017.3007,145356.7406
"0000",2017,"Riket",5.24775492,53108549.73,921286.4902,17340632.09,3102156.032,6944023.624,14808669.43,7053901.363
"0020",2017,"Dalarnas län",5.94609663,1701564.743,30493.30132,556060.9753,120411.4312,95390.09426,669728.7081,148511.831
"0000",2018,"Riket",5.09854431,52159051.56,815149.7651,16894913.57,3026001.819,7005945.237,14796327.53,6878848.367
"0020",2018,"Dalarnas län",5.61506341,1612595.675,25396.88312,520651.0923,116273.258,89996.39345,634896.5568,149770.1758
"0000",2019,"Riket",4.92137871,50825976.58,803335.0368,16627939.11,3200583.9,5993571.195,14834400.27,6823637.682
"0020",2019,"Dalarnas län",5.51764411,1588893.905,23000.09091,513081.9341,123926.0743,95764.72313,615308.7409,146951.7077
"0000",2020,"Riket",4.45520472,46241884.06,692608.3666,15032573.95,3219149.37,5400849.531,12590245.97,6876833.91
"0020",2020,"Dalarnas län",5.15403409,1482691.91,19724.84888,470669.6279,125861.4921,90304.5792,564644.0542,145116.5061
